File,Line,Method,Endpoint,Full_URL
"src/app/(admin)/86/page.tsx",64,GET,"/api/inventory/86-status","/api/inventory/86-status?${params}"
"src/app/(admin)/combos/page.tsx",110,GET,"/api/combos","/api/combos?locationId=${employee.location.id}"
"src/app/(admin)/combos/page.tsx",111,GET,"/api/menu","/api/menu?locationId=${employee.location.id}"
"src/app/(admin)/combos/page.tsx",142,GET,"/api/menu/items/{id}/modifiers","/api/menu/items/${itemId}/modifiers"
"src/app/(admin)/combos/page.tsx",306,GET,"/api/combos/{id}","/api/combos/${id}"
"src/app/(admin)/combos/page.tsx",317,GET,"/api/combos/{id}","/api/combos/${combo.id}"
"src/app/(admin)/coupons/page.tsx",68,GET,"/api/coupons/{id}","/api/coupons/${coupon.id}"
"src/app/(admin)/customers/page.tsx",100,GET,"/api/customers","/api/customers?${params}"
"src/app/(admin)/customers/page.tsx",163,GET,"/api/customers/{id}","/api/customers/${customerId}?${params}"
"src/app/(admin)/customers/page.tsx",254,GET,"/api/customers/{id}","/api/customers/${viewingCustomer.id}"
"src/app/(admin)/discounts/page.tsx",157,GET,"/api/discounts/{id}","/api/discounts/${discount.id}"
"src/app/(admin)/employees/[id]/payment/page.tsx",168,GET,"/api/employees/{id}/payment","/api/employees/${employeeId}/payment"
"src/app/(admin)/employees/[id]/payment/page.tsx",95,GET,"/api/employees/{id}/payment","/api/employees/${employeeId}/payment"
"src/app/(admin)/employees/page.tsx",155,GET,"/api/employees/{id}","/api/employees/${emp.id}"
"src/app/(admin)/employees/page.tsx",236,GET,"/api/employees/{id}","/api/employees/${emp.id}"
"src/app/(admin)/employees/page.tsx",256,GET,"/api/employees/{id}","/api/employees/${emp.id}"
"src/app/(admin)/employees/page.tsx",92,GET,"/api/employees","/api/employees?locationId=${currentEmployee.location.id}&includeInactive=${showInactive}"
"src/app/(admin)/employees/page.tsx",93,GET,"/api/roles","/api/roles?locationId=${currentEmployee.location.id}"
"src/app/(admin)/events/[id]/check-in/page.tsx",107,GET,"/api/tickets/{id}/check-in","/api/tickets/${scanInput.trim()}/check-in"
"src/app/(admin)/events/[id]/check-in/page.tsx",146,GET,"/api/tickets/{id}/check-in","/api/tickets/${ticketId}/check-in"
"src/app/(admin)/events/[id]/check-in/page.tsx",172,GET,"/api/tickets/{id}/check-in","/api/tickets/${ticketId}/check-in"
"src/app/(admin)/events/[id]/check-in/page.tsx",75,GET,"/api/events/{id}","/api/events/${id}"
"src/app/(admin)/events/[id]/check-in/page.tsx",80,GET,"/api/tickets","/api/tickets?eventId=${id}"
"src/app/(admin)/events/[id]/page.tsx",105,GET,"/api/events/{id}/conflicts","/api/events/${id}/conflicts"
"src/app/(admin)/events/[id]/page.tsx",120,GET,"/api/events/{id}/publish","/api/events/${id}/publish"
"src/app/(admin)/events/[id]/page.tsx",134,GET,"/api/events/{id}/resolve-conflicts","/api/events/${id}/resolve-conflicts"
"src/app/(admin)/events/[id]/page.tsx",99,GET,"/api/events/{id}","/api/events/${id}"
"src/app/(admin)/events/[id]/sell/page.tsx",127,GET,"/api/events/{id}/tickets/hold","/api/events/${id}/tickets/hold"
"src/app/(admin)/events/[id]/sell/page.tsx",162,GET,"/api/events/{id}/tickets/purchase","/api/events/${id}/tickets/purchase"
"src/app/(admin)/events/[id]/sell/page.tsx",197,GET,"/api/events/{id}/tickets/release","/api/events/${id}/tickets/release"
"src/app/(admin)/events/[id]/sell/page.tsx",97,GET,"/api/events/{id}/availability","/api/events/${id}/availability"
"src/app/(admin)/events/page.tsx",187,GET,"/api/events/{id}/publish","/api/events/${event.id}/publish"
"src/app/(admin)/events/page.tsx",205,GET,"/api/events/{id}","/api/events/${event.id}"
"src/app/(admin)/events/page.tsx",80,GET,"/api/events","/api/events?${params}"
"src/app/(admin)/gift-cards/page.tsx",106,GET,"/api/gift-cards","/api/gift-cards?${params}"
"src/app/(admin)/gift-cards/page.tsx",127,GET,"/api/gift-cards/{id}","/api/gift-cards/${card.id}"
"src/app/(admin)/gift-cards/page.tsx",162,GET,"/api/gift-cards/{id}","/api/gift-cards/${selectedCard.id}"
"src/app/(admin)/gift-cards/page.tsx",185,GET,"/api/gift-cards/{id}","/api/gift-cards/${card.id}"
"src/app/(admin)/house-accounts/page.tsx",143,GET,"/api/house-accounts/{id}","/api/house-accounts/${account.id}"
"src/app/(admin)/house-accounts/page.tsx",227,GET,"/api/house-accounts/{id}","/api/house-accounts/${selectedAccount.id}"
"src/app/(admin)/house-accounts/page.tsx",253,GET,"/api/house-accounts/{id}","/api/house-accounts/${account.id}"
"src/app/(admin)/inventory/counts/page.tsx",113,GET,"/api/inventory/storage-locations","/api/inventory/storage-locations?locationId=${employee.location.id}"
"src/app/(admin)/inventory/counts/page.tsx",132,GET,"/api/inventory/counts/{id}","/api/inventory/counts/${id}"
"src/app/(admin)/inventory/counts/page.tsx",164,GET,"/api/inventory/counts/{id}","/api/inventory/counts/${countDetail.id}"
"src/app/(admin)/inventory/counts/page.tsx",194,GET,"/api/inventory/counts/{id}","/api/inventory/counts/${countDetail.id}"
"src/app/(admin)/inventory/counts/page.tsx",217,GET,"/api/inventory/counts/{id}","/api/inventory/counts/${countDetail.id}"
"src/app/(admin)/inventory/daily-prep-counts/page.tsx",100,GET,"/api/inventory/daily-counts","/api/inventory/daily-counts?locationId=${locationId}&limit=20"
"src/app/(admin)/inventory/daily-prep-counts/page.tsx",242,GET,"/api/inventory/daily-counts/{id}","/api/inventory/daily-counts/${activeCount.id}"
"src/app/(admin)/inventory/daily-prep-counts/page.tsx",271,GET,"/api/inventory/daily-counts/{id}/submit","/api/inventory/daily-counts/${activeCount.id}/submit"
"src/app/(admin)/inventory/daily-prep-counts/page.tsx",296,GET,"/api/inventory/daily-counts/{id}","/api/inventory/daily-counts/${count.id}"
"src/app/(admin)/inventory/daily-prep-counts/page.tsx",315,GET,"/api/inventory/daily-counts/{id}/approve","/api/inventory/daily-counts/${activeCount.id}/approve"
"src/app/(admin)/inventory/daily-prep-counts/page.tsx",343,GET,"/api/inventory/daily-counts/{id}/approve","/api/inventory/daily-counts/${activeCount.id}/approve"
"src/app/(admin)/inventory/daily-prep-counts/page.tsx",99,GET,"/api/inventory/prep-tray-configs","/api/inventory/prep-tray-configs?locationId=${locationId}"
"src/app/(admin)/inventory/items/page.tsx",143,GET,"/api/inventory/items","/api/inventory/items?${buildQueryParams(0)}"
"src/app/(admin)/inventory/items/page.tsx",144,GET,"/api/inventory/vendors","/api/inventory/vendors?locationId=${employee.location.id}"
"src/app/(admin)/inventory/items/page.tsx",170,GET,"/api/inventory/items","/api/inventory/items?${buildQueryParams(items.length)}"
"src/app/(admin)/inventory/items/page.tsx",196,GET,"/api/inventory/items/{id}","/api/inventory/items/${id}"
"src/app/(admin)/inventory/quick-adjust/page.tsx",81,GET,"/api/inventory/stock-adjust","/api/inventory/stock-adjust?locationId=${locationId}"
"src/app/(admin)/inventory/settings/page.tsx",64,GET,"/api/inventory/settings","/api/inventory/settings?locationId=${employee.location.id}"
"src/app/(admin)/inventory/transactions/page.tsx",123,GET,"/api/inventory/transactions","/api/inventory/transactions?${params}"
"src/app/(admin)/inventory/vendors/page.tsx",53,GET,"/api/inventory/vendors","/api/inventory/vendors?locationId=${locationId}&activeOnly=false"
"src/app/(admin)/inventory/waste/page.tsx",104,GET,"/api/inventory/waste","/api/inventory/waste?${params}"
"src/app/(admin)/inventory/waste/page.tsx",362,GET,"/api/inventory/items","/api/inventory/items?locationId=${locationId}&activeOnly=true"
"src/app/(admin)/liquor-builder/LiquorModifierGroupEditor.tsx",114,GET,"/api/menu/modifiers/{id}","/api/menu/modifiers/${group.id}"
"src/app/(admin)/liquor-builder/page.tsx",1577,GET,"/api/menu/items/{id}/modifier-groups/{id}/modifiers","/api/menu/items/${selectedDrink.id}/modifier-groups/${mg.id}/modifiers"
"src/app/(admin)/liquor-builder/page.tsx",1602,GET,"/api/menu/items/{id}/modifier-groups/{id}/modifiers","/api/menu/items/${selectedDrink.id}/modifier-groups/${mg.id}/modifiers"
"src/app/(admin)/liquor-builder/page.tsx",1621,GET,"/api/menu/items/{id}/modifier-groups/{id}/modifiers","/api/menu/items/${selectedDrink.id}/modifier-groups/${mg.id}/modifiers"
"src/app/(admin)/liquor-builder/page.tsx",1656,GET,"/api/menu/items/{id}/modifier-groups/{id}/modifiers","/api/menu/items/${selectedDrink.id}/modifier-groups/${mg.id}/modifiers"
"src/app/(admin)/liquor-builder/page.tsx",170,GET,"/api/liquor/bottles","/api/liquor/bottles?_t=${Date.now()}"
"src/app/(admin)/liquor-builder/page.tsx",1747,GET,"/api/menu/items/{id}/modifier-groups","/api/menu/items/${selectedDrink.id}/modifier-groups"
"src/app/(admin)/liquor-builder/page.tsx",1821,GET,"/api/liquor/categories/{id}","/api/liquor/categories/${editingCategory.id}"
"src/app/(admin)/liquor-builder/page.tsx",1882,GET,"/api/menu/items/{id}/recipe","/api/menu/items/${itemId}/recipe"
"src/app/(admin)/liquor-builder/page.tsx",1936,GET,"/api/menu/categories/{id}","/api/menu/categories/${editingMenuCategory.id}"
"src/app/(admin)/liquor-builder/page.tsx",252,GET,"/api/menu/items/{id}/recipe","/api/menu/items/${itemId}/recipe"
"src/app/(admin)/liquor-builder/page.tsx",279,GET,"/api/menu/items/{id}/modifier-groups","/api/menu/items/${itemId}/modifier-groups"
"src/app/(admin)/liquor-builder/page.tsx",353,GET,"/api/menu/items/{id}/modifier-groups","/api/menu/items/${itemId}/modifier-groups"
"src/app/(admin)/liquor-builder/page.tsx",369,GET,"/api/menu/items/{id}/modifier-groups/{id}/modifiers","/api/menu/items/${itemId}/modifier-groups/${gid}/modifiers"
"src/app/(admin)/liquor-builder/page.tsx",400,GET,"/api/menu/items/{id}/modifier-groups/{id}/modifiers","/api/menu/items/${selectedDrink.id}/modifier-groups/${groupId}/modifiers"
"src/app/(admin)/liquor-builder/page.tsx",426,GET,"/api/menu/items/{id}/modifier-groups/{id}/modifiers","/api/menu/items/${selectedDrink.id}/modifier-groups/${spiritGroupId}/modifiers"
"src/app/(admin)/liquor-builder/page.tsx",449,GET,"/api/menu/items/{id}/modifier-groups/{id}/modifiers","/api/menu/items/${selectedDrink.id}/modifier-groups/${spiritGroupId}/modifiers"
"src/app/(admin)/liquor-builder/page.tsx",466,GET,"/api/menu/items/{id}","/api/menu/items/${selectedDrink.id}"
"src/app/(admin)/liquor-builder/page.tsx",493,GET,"/api/menu/items/{id}","/api/menu/items/${selectedDrink.id}"
"src/app/(admin)/liquor-builder/page.tsx",500,GET,"/api/menu/items/{id}/recipe","/api/menu/items/${selectedDrink.id}/recipe"
"src/app/(admin)/liquor-builder/page.tsx",585,GET,"/api/menu/items/{id}","/api/menu/items/${selectedDrink.id}"
"src/app/(admin)/liquor-builder/page.tsx",619,GET,"/api/menu/items/{id}","/api/menu/items/${selectedDrink.id}"
"src/app/(admin)/liquor-builder/page.tsx",811,GET,"/api/menu/items/{id}","/api/menu/items/${drink.id}"
"src/app/(admin)/liquor-builder/page.tsx",829,GET,"/api/menu/items/{id}","/api/menu/items/${drink.id}"
"src/app/(admin)/liquor-builder/page.tsx",898,GET,"/api/menu/items/{id}","/api/menu/items/${selectedDrink.id}"
"src/app/(admin)/liquor-builder/page.tsx",918,GET,"/api/menu/items/{id}","/api/menu/items/${selectedDrink.id}"
"src/app/(admin)/menu/page.tsx",258,GET,"/api/ingredients","/api/ingredients?locationId=${locationId}"
"src/app/(admin)/menu/page.tsx",259,GET,"/api/ingredient-categories","/api/ingredient-categories?locationId=${locationId}"
"src/app/(admin)/menu/page.tsx",260,GET,"/api/hardware/printers","/api/hardware/printers?locationId=${locationId}"
"src/app/(admin)/menu/page.tsx",261,GET,"/api/hardware/kds-screens","/api/hardware/kds-screens?locationId=${locationId}"
"src/app/(admin)/menu/page.tsx",416,GET,"/api/menu/items/{id}/modifier-groups","/api/menu/items/${targetItemId}/modifier-groups"
"src/app/(admin)/menu/page.tsx",476,GET,"/api/menu/categories/{id}","/api/menu/categories/${id}"
"src/app/(admin)/menu/page.tsx",495,GET,"/api/menu/items/{id}","/api/menu/items/${id}"
"src/app/(admin)/menu/page.tsx",507,GET,"/api/menu/items/{id}","/api/menu/items/${item.id}"
"src/app/(admin)/monitoring/errors/page.tsx",74,GET,"/api/monitoring/errors","/api/monitoring/errors?${params}"
"src/app/(admin)/monitoring/page.tsx",68,GET,"/api/monitoring/errors","/api/monitoring/errors?stats=true&locationId=${locationId}"
"src/app/(admin)/monitoring/page.tsx",69,GET,"/api/monitoring/health-check","/api/monitoring/health-check?locationId=${locationId}"
"src/app/(admin)/orders/manager/page.tsx",155,GET,"/api/orders/open","/api/orders/open?${params}"
"src/app/(admin)/orders/manager/page.tsx",176,GET,"/api/tables","/api/tables?locationId=${locationId}"
"src/app/(admin)/orders/manager/page.tsx",279,GET,"/api/orders/{id}","/api/orders/${orderId}"
"src/app/(admin)/payroll/page.tsx",140,GET,"/api/payroll/periods/{id}","/api/payroll/periods/${periodId}"
"src/app/(admin)/payroll/page.tsx",162,GET,"/api/payroll/periods/{id}","/api/payroll/periods/${periodId}"
"src/app/(admin)/payroll/page.tsx",179,GET,"/api/payroll/periods/{id}","/api/payroll/periods/${periodId}"
"src/app/(admin)/payroll/page.tsx",83,GET,"/api/payroll/periods","/api/payroll/periods?locationId=${employee.location.id}"
"src/app/(admin)/payroll/page.tsx",97,GET,"/api/payroll/periods/{id}","/api/payroll/periods/${periodId}"
"src/app/(admin)/pizza/page.tsx",133,GET,"/api/pizza/sizes/{id}","/api/pizza/sizes/${id}"
"src/app/(admin)/pizza/page.tsx",168,GET,"/api/pizza/crusts/{id}","/api/pizza/crusts/${id}"
"src/app/(admin)/pizza/page.tsx",203,GET,"/api/pizza/sauces/{id}","/api/pizza/sauces/${id}"
"src/app/(admin)/pizza/page.tsx",238,GET,"/api/pizza/cheeses/{id}","/api/pizza/cheeses/${id}"
"src/app/(admin)/pizza/page.tsx",270,GET,"/api/pizza/toppings/{id}","/api/pizza/toppings/${id}"
"src/app/(admin)/prep-stations/page.tsx",168,GET,"/api/prep-stations/{id}","/api/prep-stations/${station.id}"
"src/app/(admin)/prep-stations/page.tsx",184,GET,"/api/prep-stations/{id}","/api/prep-stations/${assigningStation.id}"
"src/app/(admin)/prep-stations/page.tsx",96,GET,"/api/menu","/api/menu?locationId=${employee.location.id}"
"src/app/(admin)/reports/commission/page.tsx",76,GET,"/api/reports/commission","/api/reports/commission?${params}"
"src/app/(admin)/reports/coupons/page.tsx",95,GET,"/api/reports/coupons","/api/reports/coupons?${params}"
"src/app/(admin)/reports/datacap/page.tsx",155,GET,"/api/reports/datacap-transactions","/api/reports/datacap-transactions?${params}"
"src/app/(admin)/reports/employees/page.tsx",98,GET,"/api/reports/employees","/api/reports/employees?${params}"
"src/app/(admin)/reports/forecasting/page.tsx",90,GET,"/api/reports/forecasting","/api/reports/forecasting?${params}"
"src/app/(admin)/reports/hourly/page.tsx",66,GET,"/api/reports/hourly","/api/reports/hourly?${params}"
"src/app/(admin)/reports/house-accounts/page.tsx",126,GET,"/api/house-accounts/{id}/payments","/api/house-accounts/${accountId}/payments"
"src/app/(admin)/reports/house-accounts/page.tsx",99,GET,"/api/reports/house-accounts","/api/reports/house-accounts?${params}"
"src/app/(admin)/reports/labor/page.tsx",102,GET,"/api/reports/labor","/api/reports/labor?${params}"
"src/app/(admin)/reports/liquor/page.tsx",146,GET,"/api/reports/liquor","/api/reports/liquor?${params}"
"src/app/(admin)/reports/order-history/page.tsx",130,GET,"/api/reports/order-history","/api/reports/order-history?${params}"
"src/app/(admin)/reports/page.tsx",64,GET,"/api/reports/sales","/api/reports/sales?${params}"
"src/app/(admin)/reports/payroll/page.tsx",112,GET,"/api/reports/payroll","/api/reports/payroll?${params}"
